x,time,Theta,Sin_theta,Cos_theta,Phasor
0.1,1.02E-09,0.27707,0.273538574,0.961861034,
0.2,1.02E-09,0.27713,0.273596285,0.96184462,
0.3,1.02E-09,0.2242,0.222326456,0.97497228,
0.4,1.01E-09,0.28989,0.285846817,0.958275324,
0.5,1.01E-09,0.16686,0.166086784,0.98611114,
0.6,1.00E-09,0.18293,0.181911463,0.983314914,
0.7,9.99E-10,0.18697,0.18588256,0.982571969,
0.8,9.95E-10,0.18559,0.184526434,0.982827551,
0.9,9.91E-10,0.18401,0.182973337,0.983117876,
1,9.87E-10,0.18608,0.185007997,0.982737015,
1.1,9.83E-10,0.19431,0.193089566,0.981181135,
1.2,9.79E-10,0.20993,0.208391437,0.978045505,
1.3,9.75E-10,0.23291,0.230809923,0.972998859,
1.4,9.72E-10,0.10284,0.102658822,0.994716626,
1.5,9.68E-10,0.13564,0.13522446,0.99081499,
1.6,9.64E-10,0.16862,0.167822081,0.9858173,
1.7,9.61E-10,0.1972,0.195924369,0.980619009,
1.8,9.57E-10,0.05661,0.056579769,0.998398082,
1.9,9.54E-10,0.21776,0.216043067,0.976383835,
2,9.50E-10,0.19569,0.194443412,0.980913737,
2.1,9.47E-10,0.14125,0.140780775,0.990040794,
2.2,9.43E-10,0.20448,0.203058021,0.979166707,
2.3,9.40E-10,0.21639,0.214705219,0.976678898,
2.4,9.37E-10,0.16647,0.165702188,0.986175839,
2.5,9.34E-10,0.2028,0.201412735,0.979506463,
2.6,9.30E-10,0.15455,0.153935478,0.988080902,
2.7,9.27E-10,0.16879,0.167989668,0.985788756,
2.8,9.24E-10,0.07384,0.073772918,0.997275066,
2.9,9.21E-10,0.17516,0.174265692,0.984698669,
3,9.18E-10,0.14131,0.140840177,0.990032345,
3.1,9.15E-10,0.11813,0.117855447,0.993030762,
3.2,9.12E-10,0.09216,0.092029596,0.995756272,
3.3,9.09E-10,0.20903,0.207511112,0.978232661,
3.4,9.07E-10,0.29607,0.291763462,0.956490503,
3.5,9.04E-10,0.18067,0.179688708,0.983723522,
3.6,9.01E-10,0.16784,0.167053093,0.985947901,
3.7,8.98E-10,0.08532,0.085216523,0.996362456,
3.8,8.96E-10,0.07945,0.079366441,0.996845509,
3.9,8.93E-10,0.13774,0.137304872,0.990528835,
4,8.91E-10,0.24812,0.245581968,0.969375829,
4.1,8.88E-10,0.08067,0.080582533,0.99674794,
4.2,8.86E-10,0.26098,0.25802749,0.966137575,
4.3,8.83E-10,0.14194,0.14146387,0.989943419,
4.4,8.81E-10,0.03208,0.032074498,0.999485481,
4.5,8.78E-10,0.08147,0.081379906,0.996683155,
4.6,8.76E-10,0.12269,0.122382426,0.992483018,
4.7,8.74E-10,0.14827,0.147727336,0.989028126,
4.8,8.72E-10,0.15168,0.151099056,0.988518627,
4.9,8.70E-10,0.12732,0.126976294,0.991905752,
5,8.68E-10,0.22976,0.227743837,0.973721082,
5.1,8.66E-10,0.13716,0.136730342,0.990608305,
5.2,8.64E-10,0.16541,0.164656749,0.986350929,
5.3,8.62E-10,0.15408,0.153471063,0.988153142,
5.4,8.60E-10,0.10312,0.102937339,0.994687843,
5.5,8.58E-10,0.17285,0.171990575,0.985098595,
5.6,8.56E-10,0.20656,0.205094247,0.978742229,
5.7,8.55E-10,0.20803,0.206532776,0.978439683,
5.8,8.53E-10,0.18239,0.181380446,0.983413003,
5.9,8.51E-10,0.13615,0.135729758,0.990745897,
6,8.50E-10,0.07724,0.07716322,0.997018474,
6.1,8.48E-10,0.17418,0.173300603,0.984868976,
